lcode,municipality
70209,Kedarsyun Rural Municipality
70212,Khaptad Chhanna Rural Municipality
70207,Chhabis Pathibhara Rural Municipality
70206,Jayaprithbi Urban Municipality
70204,Talkot Rural Municipality
70211,Thalara Rural Municipality
70208,Durgathali Rural Municipality
70202,Bungal Urban Municipality
70205,Masta Rural Municipality
70210,Bitthadchir Rural Municipality
70203,Surma Rural Municipality
70603,Aadarsha Rural Municipality
70606,K.I. Singh Rural Municipality
70609,Jorayal Rural Municipality
70605,Dipayal Silgadhi Urban Municipality
70601,Purbichauki Rural Municipality
70608,Badi Kedar Rural Municipality
70607,Bogatan Phudsil Rural Municipality
70604,Shikhar Urban Municipality
70602,Sayal Rural Municipality
70812,Kailari Rural Municipality
70803,Godawari Urban Municipality
70804,Gauriganga Urban Municipality
70805,Ghodaghodi Urban Municipality
70802,Chure Rural Municipality
70808,Janaki Rural Municipality
70809,Joshipur Rural Municipality
70810,Tikapur Urban Municipality
70813,Dhangadhi Sub-Metropolitian City
70806,Bardagoriya Rural Municipality
70811,Bhajani Urban Municipality
70801,Mohanyal Rural Municipality
70807,Lamki Chuha Urban Municipality
70305,Apihimal Rural Municipality
70302,Duhun Rural Municipality
70304,Naugad Rural Municipality
70301,Byas Rural Municipality
70303,Mahakali Urban Municipality
70306,Marma Rural Municipality
70308,Malikarjun Rural Municipality
70309,Lekam Rural Municipality
70307,Shailyashikhar Urban Municipality
70401,Dilasaini Rural Municipality
70405,Dasharathchand Urban Municipality
70402,Dogada Kedar Rural Municipality
70406,Pancheshwor Rural Municipality
70409,Patan Urban Municipality
70403,Puchaundi Urban Municipality
70408,Melauli Urban Municipality
70407,Shivanath Rural Municipality
70410,Sigas Rural Municipality
70404,Surnaya Rural Municipality
70503,Ajayameru Rural Municipality
70502,Amargadhi Urban Municipality
70506,Aalital Rural Municipality
70507,Ganyapdhura Rural Municipality
70501,Nawadurga Rural Municipality
70505,Parashuram Urban Municipality
70504,Bhageshwor Rural Municipality
70901,Krishnapur Urban Municipality
70907,Punarbas Urban Municipality
70909,Beldandi Rural Municipality
70908,Belouri Urban Municipality
70904,Bhimdatta Urban Municipality
70905,Mahakali Urban Municipality
70906,Laljhadi Rural Municipality
70903,Bedkot Urban Municipality
70902,Shuklaphanta Urban Municipality
