Lcode,MunicipalityName,GaPa_NaPa
50607,Rainadevi Chhahara Rural Municipality,Rainadevi Chhahara
50501,Chhatradev Rural Municipality,Chhatradev
50505,Panini Rural Municipality,Panini
50503,Bhumikasthan Urban Municipality,Bhumikasthan
50502,Malarani Rural Municipality,Malarani
50504,Sandhikharka Urban Municipality,Sandhikharka
50506,Shitaganga Urban Municipality,Shitaganga
50707,Susta Rural Municipality,Susta
50704,Palhinandan Rural Municipality,Palhinandan
50706,Pratapapur Rural Municipality,Pratapapur
50701,Bardaghat Urban Municipality,Bardaghat
50703,Ramgram Urban Municipality,Ramgram
50705,Sarawal Rural Municipality,Sarawal
50702,Sunawal Urban Municipality,Sunawal
50809,Om Satiya Rural Municipality,Om Satiya
50804,Kanchan Rural Municipality,Kanchan
50814,Kotahimai Rural Municipality,Kotahimai
50805,Gaidahawa Rural Municipality,Gaidahawa
50808,Tilottama Urban Municipality,Tilottama
50801,Devdaha Urban Municipality,Devdaha
50802,Butwal Sub-Metropolitian City,Butwal
50816,Marchawari Rural Municipality,Marchawari
50812,Mayadevi Rural Municipality,Mayadevi
50810,Rohini Rural Municipality,Rohini
50813,Lumbini Sanskritik Urban Municipality,Lumbini Sanskritik
50806,Suddhodhan Rural Municipality,Suddhodhan
50815,Sammarimai Rural Municipality,Sammarimai
50811,Siddharthanagar Urban Municipality,Siddharthanagar
50807,Siyari Rural Municipality,Siyari
50803,Sainamaina Urban Municipality,Sainamaina
50907,Kapilbastu Urban Municipality,Kapilbastu
50905,Krishnanagar Urban Municipality,Krishnanagar
50901,Banganga Urban Municipality,Banganga
50902,Buddhabhumi Urban Municipality,Buddhabhumi
50906,Maharajganj Urban Municipality,Maharajganj
50909,Mayadevi Rural Municipality,Mayadevi
50908,Yasodhara Rural Municipality,Yasodhara
50904,Bijayanagar Rural Municipality,Bijayanagar
50903,Shivaraj Urban Municipality,Shivaraj
50910,Shuddhodhan Rural Municipality,Shuddhodhan
50101,Putha Uttanganga Rural Municipality,Putha Uttanganga
50103,Bhoome Rural Municipality,Bhoome
50102,Sisne Rural Municipality,Sisne
50206,Tribeni Rural Municipality,Tribeni
50202,Thawang Rural Municipality,Thawang
50203,Pariwartan Rural Municipality,Pariwartan
50205,Madi Rural Municipality,Madi
50208,Runtigadhi Rural Municipality,Runtigadhi
50207,Rolpa Urban Municipality,Rolpa
50210,Lungri Rural Municipality,Lungri
50204,Gangadev Rural Municipality,Gangadev
50201,Sunchhahari Rural Municipality,Sunchhahari
50209,Sunil Smriti Rural Municipality,Sunil Smriti
50308,Aairawati Rural Municipality,Aairawati
50301,Gaumukhi Rural Municipality,Gaumukhi
50303,Jhimaruk Rural Municipality,Jhimaruk
50302,Naubahini Rural Municipality,Naubahini
50304,Pyuthan Urban Municipality,Pyuthan
50307,Mallarani Rural Municipality,Mallarani
50306,Mandavi Rural Municipality,Mandavi
50309,Sarumarani Rural Municipality,Sarumarani
50305,Sworgadwari Urban Municipality,Sworgadwari
51009,Gadhawa Rural Municipality,Gadhawa
51002,Ghorahi Sub-Metropolitian City,Ghorahi
51003,Tulsipur Sub-Metropolitian City,Tulsipur
51006,Dangisharan Rural Municipality,Dangisharan
51001,Bangalachuli Rural Municipality,Bangalachuli
51005,Babai Rural Municipality,Babai
51010,Rajpur Rural Municipality,Rajpur
51008,Rapti Rural Municipality,Rapti
51007,Lamahi Urban Municipality,Lamahi
51004,Shantinagar Rural Municipality,Shantinagar
51102,Kohalpur Urban Municipality,Kohalpur
51104,Khajura Rural Municipality,Khajura
